Reference,Latitude,Longitude,Date_BP,SE,Chronoculture,Associated_lithics,Country,Site name,Associated.publications,NOTES
b-29772,-2.2333,11.3333,5530,230,LSA,1,Gabon,Ndende,"Locko, 1991; 1989","Mercader and Mart’, 2003"
OBDY-597,6.13,15.33,3010,220,LSA,1,CAR,Ndio,"Zangato, 1991",
OBDY-1111,6.13,15.33,3530,100,LSA,1,CAR,Ndio,"Zangato, 1999",
Beta-182539,3.0631,10.2189,5490,70,LSA,1,Cameroon,Ndtoua (Eca 068),Lavachery et al. 2005,
b-8494,5.3092,9.7272,8930,40,LSA,1,Cameroon,Njuinye,"Mercader and Mart’, 2003","Mercader and Mart’, 2003"
Os-22245,5.3092,9.7272,17800,180,LSA,1,Cameroon,Njuinye,"Mercader and Mart’, 2003","Mercader and Mart’, 2003"
Gif-4392,-4.25,13.7667,7090,140,LSA,1,ROC,Ntadi Yomba,"De Maret, 1982",
Gif-4313,-4.25,13.7667,6890,160,LSA,1,ROC,Ntadi Yomba,Delibrias/Guilier 1988: 83,
Gif-4391,-4.25,13.7667,1990,90,LSA,1,ROC,Ntadi Yomba,Delibrias/Guilier 1988: 83; Kouyoumontzakis u.a. 1985,
Gif-4653,-4.25,13.7667,6890,160,LSA,1,ROC,Ntadi Yomba,Kouyoumontzakis u.a. 1985,
Gif-6504,-3.33,15.124,3700,90,LSA,1,RoC,Ntsimou,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Beta-25547,0.5333,9.35,6190,80,LSA,1,Gabon,Nzogobeyok,"Clist, 1995",
Hv-11046,3.8167,11.5,3265,165,LSA,1,Cameroon,Obobogo,"De Maret, 1992",
Hv-10581,3.8167,11.5,6020,505,LSA,1,Cameroon,Obobogo,"De Maret, 1992",
Gif-8614,0.4906,9.4125,5580,60,LSA,1,Gabon,Okala 1,"Clist, 1995",
Beta-46142,0.4906,9.4125,39690,670,Stone Age,1,Gabon,Okala 1,"Clist, 1995",
Gif-9378,0.4906,9.4125,40000,0,Stone Age,1,Gabon,Okala 1,"Clist, 1995",
Gif-10438,-0.12,11.55,4500,50,LSA,1,Gabon,Okanda 5,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-10438,-0.12,11.55,4500,50,LSA,1,Gabon,Okanda 5,"Assoko, 2000",Oslisly et al. 2013
Gif-6311,-4.2667,15.2333,7400,110,LSA,1,ROC,Orstom,"de Maret, 1985a",
Gif-10203,-0.587,11.533,2200,40,LSA,1,Gabon,Oumoundo 4,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-4157,0.3333,9.4667,5040,130,LSA,1,Gabon,Owendo,"Cahen, 1978",
Lv-287,-4.761,15.416,>30000,NA,Sangoan,1,DRC,Plain Lemba (Kinhasa Plain),de Maret et al. 1977: 491; van Noten 1982,
Gif-5434,-4.2833,15.2667,4580,110,LSA,1,ROC,Pointe Bacongo,"de Maret, 1985a",
Gif-2206,-4.75,11.85,3860,130,LSA,1,ROC,Pointe Noire,de Maret et al. 1977: 491; van Noten 1982,
Gif-2209,-4.75,11.85,4920,140,LSA,1,ROC,Pointe Noire,de Maret et al. 1977: 491; van Noten 1982,
Beta-20789,0.32,9.35,4810,80,LSA,1,Gabon,Riviere Denis 1,"Clist, 2005",
Gif-7250,0.5,9.3833,34600,1500,Stone Age,1,Gabon,Sablieres,"Clist, 1989",
Beta-14829,0.5,9.3833,4400,70,LSA,1,Gabon,Sablieres,"Clist, 1995",
Beta-14831,0.5,9.3833,5710,80,LSA,1,Gabon,Sablieres,"Clist, 1995",
Beta-14828,0.5,9.3833,5950,70,LSA,1,Gabon,Sablieres,"Clist, 1995",
Gif-6907,0.5,9.3833,6450,80,LSA,1,Gabon,Sablieres,"Clist, 1995",
Gif-6175,0.5,9.3833,7500,90,LSA,1,Gabon,Sablieres,"Clist, 1995",
Gif-5987,0.5,9.3833,4870,90,LSA,1,Gabon,Sablieres,"de Maret, 1985a",
Lv-1698,-5.167,14.008,3510,55,LSA,1,DRC,Sakuzi,"Lanfranchi, 1990",
BM-2496,5.85,10.0667,6360,100,LSA,1,Cameroon,Shum Laka,"Asombang, 1988",
Oxa-5635,5.85,10.0667,9880,100,LSA,1,Cameroon,Shum Laka,"Cornelissen, 2003",
Oxa-5200,5.85,10.0667,12800,110,LSA,1,Cameroon,Shum Laka,"Cornelissen, 2003",
Oxa-4945,5.85,10.0667,31700,750,LSA,1,Cameroon,Shum Laka,"Cornelissen, 2003",
Oxa-4944,5.85,10.0667,30300,1600,LSA,1,Cameroon,Shum Laka,"Cornelissen, 2003",
Hv-8963,5.85,10.0667,6070,340,LSA,1,Cameroon,Shum Laka,"De Maret, 1992",
Hv-8965,5.85,10.0667,6980,260,LSA,1,Cameroon,Shum Laka,"De Maret, 1992",
Oxa-930,5.85,10.0667,7790,80,LSA,1,Cameroon,Shum Laka,"De Maret, 1992",
Oxa-7912,5.85,10.0667,18040,100,LSA,1,Cameroon,Shum Laka,"De Maret, 1992",
Oxa-7875,5.85,10.0667,20260,180,LSA,1,Cameroon,Shum Laka,"De Maret, 1992",
Hv-8964,5.85,10.0667,8705,275,LSA,1,Cameroon,Shum Laka,Delneuf et al. 1998,
Oxa-4539,5.85,10.0667,6870,80,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
Oxa-1362,5.85,10.0667,7040,80,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
Oxa-5203,5.85,10.0667,7150,70,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
Oxa-5202,5.85,10.0667,8540,90,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
UtC-8027,5.85,10.0667,8550,60,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
UtC-8028,5.85,10.0667,8560,60,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
UtC-8029,5.85,10.0667,8920,90,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
Oxa-5636,5.85,10.0667,9096,70,LSA,1,Cameroon,Shum Laka,"Lavachery, 2001",
OxA-5206,5.859,10.078,3025,60,LSA,1,Cameroon,Shum Laka,Lavachery/Cornelissen 2000,
OxA-5205,5.859,10.078,3045,60,LSA,1,Cameroon,Shum Laka,Lavachery/Cornelissen 2000,
OxA-5204,5.859,10.078,3300,90,LSA,1,Cameroon,Shum Laka,Lavachery/Cornelissen 2000,
OxA-5207,5.859,10.078,2940,60,LSA,1,Cameroon,Shum Laka,Zangato 2000,
AA-33226,2.118,28.573,6025,70,LSA,1,DRC,Wataka G.E,Mercader et al. 2000,"Mercader and Mart’, 2003"
